('2022-01-01', 'Db', 10000.0, 473292.87, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-07-28', 'Db', 2000.0, 171248.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-07-29', 'Db', 160000.0, 11248.14, 'CHEQUE', None, None, 0, 1, 1)
('2022-08-01', 'Cr', 1038.0, 12286.14, 'SBINT', None, None, 0, 0, 0)
('2022-08-01', 'Db', 627.0, 11659.14, 'UPI', 'DOMINOSP', None, 0, 0, 0)
('2022-08-01', 'Db', 114.0, 11545.14, 'UPI', 'DOMINOSP', None, 0, 0, 0)
('2022-08-01', 'Cr', 11500.0, 23045.14, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-08-02', 'Db', 1000.0, 22045.14, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2022-08-02', 'Cr', 53912.0, 75957.14, 'NEFT', None, None, 0, 0, 1)
('2022-08-03', 'Db', 1120.0, 74837.14, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-08-03', 'Db', 26286.0, 48551.14, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-08-06', 'Db', 5000.0, 43551.14, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2022-08-06', 'Db', 1000.0, 42551.14, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2022-08-07', 'Db', 422.0, 42129.14, 'UPI', 'IBRAHIMK', None, 0, 0, 0)
('2022-08-07', 'Db', 9000.0, 33129.14, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-08-07', 'Db', 5000.0, 28129.14, 'ATM', None, 'Cash Withdrawal', 0, 0, 0)
('2022-08-07', 'Db', 100.0, 28029.14, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-08-11', 'Cr', 7.09, 28036.23, 'ECS', None, None, 0, 0, 0)
('2022-08-12', 'Db', 500.0, 27536.23, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-08-14', 'Db', 382.0, 27154.23, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-08-17', 'Db', 719.0, 26435.23, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-08-17', 'Db', 1000.0, 25435.23, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-08-20', 'Db', 100.0, 25335.23, 'UPI', 'NINECITY', None, 0, 0, 0)
('2022-08-22', 'Db', 2000.0, 23335.23, 'UPI', 'MAHAMMADH', None, 0, 0, 0)
('2022-08-22', 'Db', 938.0, 22397.23, 'UPI', 'KOTAKGEN', None, 0, 0, 0)
('2022-08-22', 'Cr', 938.0, 23335.23, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-08-23', 'Db', 1200.0, 22135.23, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-08-23', 'Db', 100.0, 22035.23, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-08-26', 'Cr', 360000.0, 382035.23, 'FUNDS TRANSFER DEBIT', None, None, 0, 0, 1)
('2022-08-29', 'Db', 1980.0, 380055.23, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2022-09-01', 'Cr', 53912.0, 433967.23, 'NEFT', None, None, 0, 0, 1)
('2022-09-01', 'Cr', 11500.0, 445467.23, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-09-02', 'Db', 26286.0, 419181.23, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-09-02', 'Db', 530.0, 418651.23, 'UPI', 'BAJAJFIN', None, 0, 0, 0)
('2022-09-03', 'Db', 980.0, 417671.23, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-09-05', 'Db', 6400.0, 411271.23, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-09-05', 'Db', 300000.0, 111271.23, 'CHEQUE', None, None, 0, 1, 1)
('2022-09-05', 'Db', 100.0, 111171.23, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-09-06', 'Db', 14000.0, 97171.23, 'UPI', 'ABUTALAH', None, 0, 0, 1)
('2022-09-07', 'Db', 1737.01, 95434.22, 'UPI', '1MGHEALT', None, 0, 0, 0)
('2022-09-08', 'Cr', 191.39, 95625.61, 'UPI', '1MGHEALT', None, 0, 0, 0)
('2022-09-09', 'Cr', 148.53, 95774.14, 'UPI', '1MGHEALT', None, 0, 0, 0)
('2022-09-11', 'Db', 553.0, 95221.14, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-09-11', 'Db', 1200.0, 94021.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-09-12', 'Cr', 84.0, 94105.14, 'ECS', None, None, 0, 0, 0)
('2022-09-12', 'Db', 100.0, 94005.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-09-17', 'Db', 2000.0, 92005.14, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-09-20', 'Db', 10000.0, 82005.14, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-09-20', 'Cr', 2.5, 82007.64, 'ECS', None, None, 0, 0, 0)
('2022-09-22', 'Db', 5500.0, 76507.64, 'UPI', 'BUDESAHEB', None, 0, 0, 1)
('2022-09-23', 'Cr', 7.09, 76514.73, 'ECS', None, None, 0, 0, 0)
('2022-09-24', 'Db', 18.0, 76496.73, 'SMS CHARGES', None, None, 0, 0, 0)
('2022-09-28', 'Cr', 1.0, 76497.73, 'IMPS', None, None, 0, 0, 0)
('2022-09-30', 'Db', 37000.0, 39497.73, 'UPI', 'ABUTALAH', None, 0, 0, 1)
('2022-09-30', 'Cr', 53912.0, 93409.73, 'NEFT', None, None, 0, 0, 1)
('2022-10-01', 'Db', 980.0, 92429.73, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-10-03', 'Db', 10000.0, 82429.73, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-10-03', 'Db', 26286.0, 56143.73, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-10-03', 'Db', 5200.0, 50943.73, 'UPI', 'BUDESAHEB', None, 0, 0, 1)
('2022-10-03', 'Db', 36000.0, 14943.73, 'UPI', 'ABUTALAH', None, 0, 0, 1)
('2022-10-04', 'Cr', 11500.0, 26443.73, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-10-09', 'Db', 100.0, 26343.73, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-10-12', 'Cr', 97.02, 26440.75, 'ECS', None, None, 0, 0, 0)
('2022-10-15', 'Db', 145.0, 26295.75, 'UPI', 'MAHARANI', None, 0, 0, 0)
('2022-10-16', 'Db', 10000.0, 16295.75, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-10-18', 'Db', 1500.0, 14795.75, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-10-23', 'Db', 2500.0, 12295.75, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-10-26', 'Db', 500.0, 11795.75, 'UPI', 'SANGALLI', None, 0, 0, 0)
('2022-10-27', 'Cr', 5361.0, 17156.75, 'NEFT', None, None, 0, 0, 1)
('2022-10-28', 'Db', 189.0, 16967.75, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-10-31', 'Db', 2000.0, 14967.75, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-11-01', 'Cr', 622.0, 15589.75, 'SBINT', None, None, 0, 0, 0)
('2022-11-01', 'Db', 549.0, 15040.75, 'UPI', 'AMAZONPAY', 'Shopping', 0, 0, 0)
('2022-11-03', 'Cr', 41699.0, 56739.75, 'NEFT', None, None, 0, 0, 1)
('2022-11-03', 'Cr', 11500.0, 68239.75, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-11-03', 'Db', 5400.0, 62839.75, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-11-04', 'Db', 805.0, 62034.75, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-11-06', 'Db', 26286.0, 35748.75, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-11-10', 'Db', 666.0, 35082.75, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-11-11', 'Db', 500.0, 34582.75, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-11-14', 'Db', 10000.0, 24582.75, 'ATM', None, 'Cash Withdrawal', 0, 0, 1)
('2022-11-15', 'Db', 1.0, 24581.75, 'UPI', 'NANDISHM', None, 0, 0, 0)
('2022-11-15', 'Db', 6099.0, 18482.75, 'UPI', 'NANDISHM', None, 0, 0, 1)
('2022-11-15', 'Db', 900.0, 17582.75, 'UPI', 'NANDISHM', None, 0, 0, 0)
('2022-11-17', 'Cr', 30919.0, 48501.75, 'NEFT', None, None, 0, 0, 1)
('2022-11-17', 'Db', 132.0, 48369.75, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-11-18', 'Db', 700.0, 47669.75, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2022-11-19', 'Db', 1000.0, 46669.75, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-11-21', 'Db', 493.0, 46176.75, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-11-22', 'Db', 424.0, 45752.75, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-11-24', 'Cr', 33117.0, 78869.75, 'NEFT', None, None, 0, 0, 1)
('2022-11-24', 'Db', 100.0, 78769.75, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-11-24', 'Db', 1000.0, 77769.75, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-11-25', 'Db', 4400.0, 73369.75, 'UPI', 'BUDESAHEB', None, 0, 0, 0)
('2022-11-28', 'Db', 3030.0, 70339.75, 'UPI', 'MOMAHADHU', None, 0, 0, 0)
('2022-12-01', 'Cr', 41299.0, 111638.75, 'NEFT', None, None, 0, 0, 1)
('2022-12-01', 'Db', 1000.0, 110638.75, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-12-02', 'Cr', 11500.0, 122138.75, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2022-12-03', 'Db', 26286.0, 95852.75, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2022-12-03', 'Db', 420.0, 95432.75, 'UPI', 'AYUBRAJE', None, 0, 0, 0)
('2022-12-04', 'Cr', 1.0, 95433.75, 'UPI', 'ASGARALI', None, 0, 0, 0)
('2022-12-04', 'Cr', 4570.0, 100003.75, 'UPI', 'ASGARALI', None, 0, 0, 0)
('2022-12-05', 'Cr', 123.2, 100126.95, 'ECS', None, None, 0, 0, 0)
('2022-12-05', 'Db', 5400.0, 94726.95, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2022-12-06', 'Db', 1500.0, 93226.95, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-12-13', 'Db', 399.0, 92827.95, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2022-12-13', 'Db', 1.0, 92826.95, 'UPI', 'HUCHCHAPP', None, 0, 0, 0)
('2022-12-13', 'Db', 2999.0, 89827.95, 'UPI', 'HUCHCHAPP', None, 0, 0, 0)
('2022-12-14', 'Db', 199.0, 89628.95, 'UPI', 'FLIPKART', 'Shopping', 0, 0, 0)
('2022-12-14', 'Cr', 1.0, 89629.95, 'UPI', 'BHIMANAGO', None, 0, 0, 0)
('2022-12-14', 'Cr', 1300.0, 90929.95, 'UPI', 'BHIMANAGO', None, 0, 0, 0)
('2022-12-14', 'Cr', 1300.0, 92229.95, 'UPI', 'MALATESH', None, 0, 0, 0)
('2022-12-16', 'Cr', 1300.0, 93529.95, 'UPI', 'SHIVANAND', None, 0, 0, 0)
('2022-12-16', 'Db', 23000.0, 70529.95, 'UPI', 'ABUTALAH', None, 0, 0, 1)
('2022-12-20', 'Cr', 1300.0, 71829.95, 'UPI', 'HANAMANTH', None, 0, 0, 0)
('2022-12-21', 'Cr', 200.0, 72029.95, 'UPI', 'RAHILMAN', None, 0, 0, 0)
('2022-12-21', 'Db', 2000.0, 70029.95, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-12-21', 'Db', 5.0, 70024.95, 'UPI', 'SAGAR', None, 0, 0, 0)
('2022-12-22', 'Db', 4000.0, 66024.95, 'UPI', 'MOHAMMEDT', None, 0, 0, 0)
('2022-12-24', 'Db', 11.0, 66013.95, 'SMS CHARGES', None, None, 0, 0, 0)
('2022-12-24', 'Cr', 7.09, 66021.04, 'ECS', None, None, 0, 0, 0)
('2022-12-24', 'Db', 1740.0, 64281.04, 'UPI', 'RANGOL|S', None, 0, 0, 0)
('2022-12-29', 'Db', 1000.0, 63281.04, 'UPI', 'ABUTALAH', None, 0, 0, 0)
('2022-12-31', 'Cr', 41699.0, 104980.04, 'NEFT', None, None, 0, 0, 1)
('2023-01-01', 'Cr', 5.0, 104985.04, 'UPI', 'MEHTAMOH', None, 0, 0, 0)
('2023-01-01', 'Db', 6005.0, 98980.04, 'UPI', 'MEHTAMOH', None, 0, 0, 1)
('2023-01-03', 'Db', 26286.0, 72694.04, 'UPI', 'HDFCBANK', None, 0, 0, 1)
('2023-01-04', 'Cr', 11500.0, 84194.04, 'UPI', 'NAFEESAB', 'Bank Charges', 1, 0, 1)
('2023-01-05', 'Db', 5400.0, 78794.04, 'UPI', 'SANGALLI', None, 0, 0, 1)
('2023-01-07', 'Db', 202.0, 78592.04, 'UPI', 'PHONEPE', None, 0, 0, 0)
('2023-01-07', 'Db', 1000.0, 77592.04, 'UPI', 'ABUTALAH', None, 0, 0, 0)
