Store ID,Product ID,Inventory Level,Units Ordered,Forecast_Mean,Forecast_Std,Actual_Mean,Lead_Time,Demand_LT,Safety_Stock,Reorder_Point,Stockout_Risk,Suggested_Order_Qty,Days_of_Supply
S005,P0017,137,141,74.91963434894897,32.86080014777009,72.82894736842105,7,524.4374404426428,143,667.4374404426428,True,1055.0,1.8286261163782886
S005,P0016,233,0,77.62652882438552,35.466644765583105,76.82894736842105,7,543.3857017706986,154,697.3857017706986,True,1008.0,3.0015511904070302
S005,P0015,520,0,99.00409762900965,34.14478465913928,95.10526315789474,7,693.0286834030676,149,842.0286834030676,True,1015.0,5.252307858494459
S005,P0014,161,0,64.90392617821607,25.40807747029167,64.09210526315789,7,454.3274832475125,111,565.3274832475124,True,859.0,2.4805895341049027
S005,P0013,792,0,101.34533822187849,36.5867964850228,99.01973684210526,7,709.4173675531495,159,868.4173675531495,True,786.0,7.814863652297946
S005,P0012,375,0,65.5969043674153,25.03040376723891,65.61184210526316,7,459.17833057190717,109,568.1783305719072,True,652.0,5.7167331845354274
S005,P0011,269,0,80.64667618146368,31.295752695447007,81.57236842105263,7,564.5267332702457,136,700.5267332702457,True,996.0,3.335537343097949
S005,P0010,115,0,95.97194343480513,33.893353745322,101.63157894736842,7,671.8036040436359,147,818.8036040436359,True,1376.0,1.1982668672133419
S005,P0009,136,0,99.0145352701563,40.189673466054636,100.52631578947368,7,693.1017468910941,175,868.1017468910941,True,1425.0,1.373535709973598
S004,P0015,292,0,64.04172990567676,26.615141898514892,61.49342105263158,7,448.2921093397373,116,564.2921093397373,True,721.0,4.55952705259632
S005,P0008,154,0,96.92639329139455,29.85740440255967,94.53947368421052,7,678.4847530397618,130,808.4847530397618,True,1333.0,1.5888345245347393
S005,P0006,266,0,106.26021455785981,38.11062916742427,102.35526315789474,7,743.8215019050186,166,909.8215019050186,True,1388.0,2.5032887530559256
S005,P0005,288,267,94.6111988800942,32.4880040913027,93.11184210526316,7,662.2783921606593,141,803.2783921606593,True,1178.0,3.044037105639024
S005,P0004,141,126,99.62262174465005,26.540903137810734,99.60526315789474,7,697.3583522125504,116,813.3583522125504,True,1370.0,1.4153411898896548
S005,P0003,212,0,76.76009125907693,34.059443652128145,76.38815789473684,7,537.3206388135385,148,685.3206388135385,True,1011.0,2.7618518493479627
S005,P0002,156,408,79.12897137685557,27.603251157423788,85.65789473684211,7,553.902799637989,120,673.902799637989,True,1072.0,1.9714650308929509
S005,P0001,267,0,93.99943664745996,31.975542663640407,92.92105263157895,7,657.9960565322197,139,796.9960565322197,True,1188.0,2.840442555005619
S004,P0020,79,166,60.61568649640447,21.385200405242145,60.49342105263158,7,424.3098054748313,93,517.3098054748314,True,863.0,1.3032930016339257
S004,P0019,219,0,92.9728027685373,24.227069646278345,95.14473684210526,7,650.8096193797611,105,755.8096193797611,True,1188.0,2.3555275680482253
S004,P0018,97,71,60.20057469179857,22.361470648084033,59.2171052631579,7,421.40402284259,97,518.4040228425899,True,843.0,1.611280299176526
S004,P0017,166,139,96.16076613735981,26.829010813149875,92.13815789473684,7,673.1253629615187,117,790.1253629615187,True,1297.0,1.7262757636818231
S005,P0007,261,0,97.422178970693,35.65581112995536,94.86184210526316,7,681.9552527948509,155,836.9552527948509,True,1258.0,2.67906140837309
S003,P0010,111,146,95.17060447538003,28.698004107222328,91.0,7,666.1942313276602,125,791.1942313276602,True,1346.0,1.166326520797868
S002,P0005,552,593,84.95766184462964,34.51898098308049,84.44736842105263,7,594.7036329124074,150,744.7036329124074,True,787.0,6.49735395271937
S003,P0008,170,0,92.11544339916453,27.80004181295052,96.6842105263158,7,644.8081037941517,121,765.8081037941517,True,1241.0,1.8455103045353398
S001,P0020,333,248,64.42443733294671,25.685080648154475,61.42763157894737,7,450.971061330627,112,562.971061330627,True,681.0,5.168846074340545
S001,P0019,110,71,60.97279631580089,21.639617588628454,62.5328947368421,7,426.80957421060623,94,520.8095742106062,True,838.0,1.8040832411600234
S001,P0018,130,63,96.46565928360747,32.831573715994104,98.46710526315789,7,675.2596149852523,143,818.2596149852523,True,1364.0,1.347629829780172
S001,P0017,186,0,69.9511244585439,27.62099910693357,67.22368421052632,7,489.6578712098073,120,609.6578712098074,True,913.0,2.6589994290975514
S001,P0016,225,0,101.65276249230227,38.28448093622314,97.09868421052632,7,711.5693374461159,167,878.5693374461159,True,1365.0,2.2134174663186186
S001,P0015,80,90,76.78199850793715,29.586344581086074,74.375,7,537.47398955556,129,666.47398955556,True,1124.0,1.0419108847724274
S001,P0014,660,0,95.7171155019973,36.13283855447311,92.53289473684211,7,670.019808513981,157,827.019808513981,True,837.0,6.895318528338101
S001,P0013,91,138,73.05800785903507,32.08568866459239,68.46710526315789,7,511.4060550132455,140,651.4060550132456,True,1072.0,1.2455855650428338
S001,P0012,396,0,100.66765294543048,31.850467673764093,99.04605263157895,7,704.6735706180133,139,843.6735706180133,True,1152.0,3.9337362937691824
S001,P0011,204,0,68.5136973027403,26.844138140653623,66.21052631578948,7,479.5958811191821,117,596.5958811191821,True,872.0,2.977506805662358
S001,P0010,518,0,65.7994370139706,26.220419179668422,67.73684210526316,7,460.59605909779424,114,574.5960590977943,True,517.0,7.872407781999985
S001,P0009,128,70,108.63491271144991,33.56842845983486,111.0657894736842,7,760.4443889801494,146,906.4443889801494,True,1539.0,1.1782584144011472
S001,P0008,162,0,73.09622103195592,21.75286498572256,73.76315789473684,7,511.67354722369146,95,606.6735472236915,True,956.0,2.216256842185829
S001,P0007,476,0,98.85550660158282,35.65933402769465,102.57894736842105,7,691.9885462110797,155,846.9885462110797,True,1063.0,4.815108600054239
S001,P0006,436,0,71.2188146557095,31.368748036788897,71.07236842105263,7,498.53170258996647,137,635.5317025899665,True,698.0,6.12197776820267
S001,P0005,946,0,99.52330575620756,33.94894334820295,97.59210526315789,7,696.6631402934529,148,844.6631402934529,False,0.0,9.505311271686685
S001,P0004,241,0,80.70608777116846,29.55691221238171,79.77631578947368,7,564.9426143981792,129,693.9426143981792,True,1018.0,2.98614400295705
S001,P0003,434,0,110.46663691593348,36.29185824352901,113.34210526315789,7,773.2664584115344,158,931.2664584115344,True,1271.0,3.928788022489356
S001,P0002,136,117,96.77956986384609,25.38647192384015,96.22368421052632,7,677.4569890469227,110,787.4569890469227,True,1329.0,1.405255264012136
S001,P0001,383,0,82.2633937727423,26.952344096826096,84.125,7,575.8437564091961,117,692.8437564091961,True,886.0,4.655776797369448
S005,P0019,125,0,62.0216201427477,21.90292289723659,63.61184210526316,7,434.1513409992339,95,529.151340999234,True,838.0,2.01542622898761
S002,P0001,569,0,101.402133287111,41.91984376083144,105.01315789473684,7,709.814933009777,182,891.814933009777,True,1033.0,5.611321789344686
S002,P0002,515,0,79.27905567031321,37.33501868354012,78.8157894736842,7,554.9533896921924,162,716.9533896921924,True,757.0,6.496041049500626
S002,P0003,388,0,93.12021873286031,36.625041821107374,92.54605263157895,7,651.8415311300222,159,810.8415311300222,True,1075.0,4.166656879459008
S002,P0004,129,0,99.45915456513849,33.91863805480568,96.67763157894737,7,696.2140819559694,148,844.2140819559694,True,1411.0,1.2970148455818054
S003,P0007,187,0,104.18982461077049,35.97741262248822,98.0657894736842,7,729.3287722753934,157,886.3287722753934,True,1429.0,1.7948009865511294
S003,P0006,156,145,76.67587137356774,32.38363729212925,77.61842105263158,7,536.7310996149743,141,677.7310996149743,True,1058.0,2.034538339185767
S003,P0005,782,0,76.45955874830908,37.19444478489152,77.84868421052632,7,535.2169112381636,162,697.2169112381636,False,0.0,10.227628995011615
S003,P0004,552,0,100.603721971692,36.54553012388615,100.83552631578948,7,704.2260538018439,159,863.2260538018439,True,1015.0,5.486874532885796
S003,P0003,95,117,88.81451218036625,28.766088084850974,88.76973684210526,7,621.7015852625638,125,746.7015852625638,True,1273.0,1.0696450125974024
S003,P0002,327,0,95.94446495317509,35.16844854352857,94.03289473684211,7,671.6112546722256,153,824.6112546722256,True,1169.0,3.4082216223686244
S003,P0001,207,0,74.38798716338545,33.31816420179052,73.32236842105263,7,520.7159101436981,145,665.7159101436981,True,979.0,2.7827073684000365
S002,P0020,332,0,60.492184205477244,24.780402868557747,61.26973684210526,7,423.4452894383407,108,531.4452894383408,True,623.0,5.488312322667615
S002,P0019,339,0,96.66457551123473,32.07678179099752,96.51315789473684,7,676.6520285786431,140,816.6520285786431,True,1154.0,3.506972416804335
S002,P0018,61,160,86.9893588185732,19.827232877808093,83.95394736842105,7,608.9255117300123,86,694.9255117300123,True,1243.0,0.7012351950682021
S003,P0009,123,171,90.65357367270451,25.128965414113548,90.65131578947368,7,634.5750157089316,109,743.5750157089316,True,1255.0,1.3568135818239109
S002,P0017,204,0,76.13076832345044,34.09719002219268,73.6842105263158,7,532.9153782641531,148,680.9153782641531,True,1010.0,2.6795999106863366
S002,P0015,1039,0,96.06321769931075,33.23960799508311,99.63157894736842,7,672.4425238951753,145,817.4425238951753,False,0.0,10.81579427468475
S002,P0014,676,0,76.12392045993711,29.36395070988132,77.0,7,532.8674432195597,128,660.8674432195597,False,0.0,8.880257295152957
S002,P0013,125,0,94.95875913102776,34.27397055120856,93.65789473684211,7,664.7113139171943,149,813.7113139171943,True,1353.0,1.3163609249307922
S002,P0012,423,313,81.99520797567217,30.192223668016116,79.03289473684211,7,573.9664558297052,131,704.9664558297052,True,856.0,5.15883806435985
S002,P0011,73,0,93.86203451880122,33.287868905107366,92.34210526315789,7,657.0342416316086,145,802.0342416316086,True,1386.0,0.7777372435431025
S002,P0010,143,89,96.22443421095682,25.59966212411817,96.1842105263158,7,673.5710394766977,111,784.5710394766977,True,1315.0,1.4861090238940264
S002,P0009,153,0,101.43808895617316,34.832012842430785,99.45394736842105,7,710.0666226932121,152,862.0666226932121,True,1419.0,1.50830917236724
S002,P0008,85,94,93.12462989889654,25.800143231882224,92.82236842105263,7,651.8724092922758,112,763.8724092922758,True,1331.0,0.9127553053610277
S002,P0007,414,0,74.51342802698261,36.20309236280512,74.59210526315789,7,521.5939961888782,158,679.5939961888782,True,787.0,5.556045547254696
S002,P0006,98,117,86.12031790421203,20.165788779288963,86.27631578947368,7,602.8422253294842,88,690.8422253294842,True,1196.0,1.137942850013643
S002,P0016,88,0,93.28169526363261,27.19189149104891,93.23684210526316,7,652.9718668454283,118,770.9718668454283,True,1336.0,0.9433790815153446
S005,P0020,126,59,69.77221629876276,29.014149805407538,69.91447368421052,7,488.4055140913393,126,614.4055140913392,True,977.0,1.805876417347435
